label	command
lumo_up_full_seed42_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed42/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed42/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property lumo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode softmax --mcts-value-mode accumulated --mcts-expansion-mode topk --mcts-random-seed 42 --direction increase --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
lumo_up_full_seed43_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed43/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed43/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property lumo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode softmax --mcts-value-mode accumulated --mcts-expansion-mode topk --mcts-random-seed 43 --direction increase --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
lumo_up_full_seed44_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed44/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed44/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property lumo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode softmax --mcts-value-mode accumulated --mcts-expansion-mode topk --mcts-random-seed 44 --direction increase --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
lumo_up_wo_prior_seed42_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed42/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed42/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property lumo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode uniform --mcts-value-mode accumulated --mcts-expansion-mode topk --mcts-random-seed 42 --direction increase --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
lumo_up_wo_prior_seed43_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed43/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed43/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property lumo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode uniform --mcts-value-mode accumulated --mcts-expansion-mode topk --mcts-random-seed 43 --direction increase --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
lumo_up_wo_prior_seed44_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed44/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed44/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property lumo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode uniform --mcts-value-mode accumulated --mcts-expansion-mode topk --mcts-random-seed 44 --direction increase --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
lumo_up_wo_leaf_value_seed42_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed42/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed42/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property lumo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode softmax --mcts-value-mode zero --mcts-expansion-mode topk --mcts-random-seed 42 --direction increase --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
lumo_up_wo_leaf_value_seed43_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed43/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed43/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property lumo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode softmax --mcts-value-mode zero --mcts-expansion-mode topk --mcts-random-seed 43 --direction increase --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
lumo_up_wo_leaf_value_seed44_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed44/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed44/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251123_192921-lumo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property lumo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode softmax --mcts-value-mode zero --mcts-expansion-mode topk --mcts-random-seed 44 --direction increase --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
homo_down_full_seed42_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed42/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed42/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251127_121257-homo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251127_121257-homo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property homo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode softmax --mcts-value-mode accumulated --mcts-expansion-mode topk --mcts-random-seed 42 --direction decrease --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
homo_down_full_seed43_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed43/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed43/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251127_121257-homo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251127_121257-homo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property homo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode softmax --mcts-value-mode accumulated --mcts-expansion-mode topk --mcts-random-seed 43 --direction decrease --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
homo_down_full_seed44_search	python -m mol_evo.scripts.batch_optimizer --input-csv /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/eval-data/20251205_131636/qm9_test_molecules.csv --output-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed44/search --output-json /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed44/search/batch_results.json --model-path /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251127_121257-homo_change-120000-200/last.pth --model-dir /home/ubuntu/mol_opt/mol-ofo/mol_evo/output/v0/MoleculeEvolutionVisnetLinearPredictor/train-20251127_121257-homo_change-120000-200 --config-file /home/ubuntu/mol_opt/mol-ofo/mol_evo/dataset/data/qm9-evo-pairs-step-1-with-properties-pct-config.yaml --target-property homo --optimization-mode sub --search-mode mcts --num-simulations 800 --exploration-weight 2.0 --mcts-prior-mode softmax --mcts-value-mode accumulated --mcts-expansion-mode topk --mcts-random-seed 44 --direction decrease --max-depth 10 --max-branching 20 --pruning-patience 3 --logp-min -0.5 --logp-max 6 --logp-patience 5 --topK 20 --start-index 0 --end-index 50 
