task	variant	seed	status	search_dir	batch_json	batch_eval_csv	csv_eval_dir	search_log	eval_log	csv_eval_log
lumo_up	full	42	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed42/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed42/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed42/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed42/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed42/evaluate_csv.log
lumo_up	full	43	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed43/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed43/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed43/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed43/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed43/evaluate_csv.log
lumo_up	full	44	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed44/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed44/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed44/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed44/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/full/seed44/evaluate_csv.log
lumo_up	wo_prior	42	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed42/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed42/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed42/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed42/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed42/evaluate_csv.log
lumo_up	wo_prior	43	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed43/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed43/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed43/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed43/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed43/evaluate_csv.log
lumo_up	wo_prior	44	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed44/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed44/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed44/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed44/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_prior/seed44/evaluate_csv.log
lumo_up	wo_leaf_value	42	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed42/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed42/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed42/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed42/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed42/evaluate_csv.log
lumo_up	wo_leaf_value	43	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed43/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed43/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed43/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed43/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed43/evaluate_csv.log
lumo_up	wo_leaf_value	44	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed44/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed44/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed44/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed44/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/lumo_up/wo_leaf_value/seed44/evaluate_csv.log
homo_down	full	42	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed42/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed42/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed42/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed42/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260414_0115_official_mcts/homo_down/full/seed42/evaluate_csv.log
