table_id,markdown_file,section,csv_file,target_prop,direction,sweep_parameter,row_count,batch_dirs,source_reference
appendix_3_1_lumo_up_num_simulations,mcts_hparam_sensitivity_cross_task_appendix.md,3.1 搜索预算 / LUMO(U),table_3_1_lumo_up_num_simulations.csv,lumo,increase,num_simulations,3,batch_optimization_20260413_134936|batch_optimization_20260413_135641|batch_optimization_20260413_140631,output/evo-mo/超参数实验/all_hparam_summary.csv
appendix_3_1_homo_down_num_simulations,mcts_hparam_sensitivity_cross_task_appendix.md,3.1 搜索预算 / HOMO(D),table_3_1_homo_down_num_simulations.csv,homo,decrease,num_simulations,3,batch_optimization_20260413_162511|batch_optimization_20260413_162650|batch_optimization_20260413_162834,output/evo-mo/超参数实验/all_hparam_summary.csv
appendix_3_2_lumo_up_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,3.2 探索系数 / LUMO(U),table_3_2_lumo_up_exploration_weight.csv,lumo,increase,exploration_weight,3,batch_optimization_20260413_142447|batch_optimization_20260413_143231|batch_optimization_20260413_140631,output/evo-mo/超参数实验/all_hparam_summary.csv
appendix_3_2_homo_down_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,3.2 探索系数 / HOMO(D),table_3_2_homo_down_exploration_weight.csv,homo,decrease,exploration_weight,3,batch_optimization_20260413_163029|batch_optimization_20260413_163208|batch_optimization_20260413_162834,output/evo-mo/超参数实验/all_hparam_summary.csv
appendix_3_3_lumo_up_max_branching,mcts_hparam_sensitivity_cross_task_appendix.md,3.3 分支宽度 / LUMO(U),table_3_3_lumo_up_max_branching.csv,lumo,increase,max_branching,2,batch_optimization_20260413_150054|batch_optimization_20260413_140631,output/evo-mo/超参数实验/all_hparam_summary.csv
appendix_3_3_homo_down_max_branching,mcts_hparam_sensitivity_cross_task_appendix.md,3.3 分支宽度 / HOMO(D),table_3_3_homo_down_max_branching.csv,homo,decrease,max_branching,2,batch_optimization_20260413_163545|batch_optimization_20260413_162834,output/evo-mo/超参数实验/all_hparam_summary.csv
appendix_4_1_lumo_down_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,4.1 LUMO(D) 探索系数,table_4_1_lumo_down_exploration_weight.csv,lumo,decrease,exploration_weight,4,batch_optimization_20260412_232639|batch_optimization_20260412_222529|batch_optimization_20260412_222658|batch_optimization_20260412_222632,output/evo-mo/超参数实验/all_hparam_summary.csv
appendix_4_2_lumo_down_max_depth,mcts_hparam_sensitivity_cross_task_appendix.md,4.2 LUMO(D) 搜索深度,table_4_2_lumo_down_max_depth.csv,lumo,decrease,max_depth,6,batch_optimization_20260413_004229|batch_optimization_20260413_004357|batch_optimization_20260413_004614|batch_optimization_20260413_004852|batch_optimization_20260413_005150|batch_optimization_20260412_222529,output/evo-mo/超参数实验/all_hparam_summary.csv
appendix_4_3_lumo_down_pruning_patience,mcts_hparam_sensitivity_cross_task_appendix.md,4.3 LUMO(D) 剪枝耐心值,table_4_3_lumo_down_pruning_patience.csv,lumo,decrease,pruning_patience,4,batch_optimization_20260413_005802|batch_optimization_20260413_010020|batch_optimization_20260412_222529|batch_optimization_20260413_010615,output/evo-mo/超参数实验/all_hparam_summary.csv
appendix_4_4_lumo_down_max_branching,mcts_hparam_sensitivity_cross_task_appendix.md,4.4 LUMO(D) 分支宽度补充,table_4_4_lumo_down_max_branching.csv,lumo,decrease,max_branching,2,batch_optimization_20260412_222529|batch_optimization_20260413_003920,output/evo-mo/超参数实验/all_hparam_summary.csv
main_3_key_evidence,mcts_hparam_sensitivity_cross_task_main.md,3. 正文可保留的关键证据,table_main_key_evidence.csv,cross_task,mixed,summary,3,,appendix_3_1_lumo_up_num_simulations|appendix_3_1_homo_down_num_simulations|appendix_3_2_lumo_up_exploration_weight|appendix_3_2_homo_down_exploration_weight|appendix_3_3_lumo_up_max_branching|appendix_3_3_homo_down_max_branching
